TimeS,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14,MF15,MF16,MF17,MF18,MF19,MF20,MF21,MF22,MF23,MF24,MF25
81316,0.974407656,0.314370041,0.961233394,0.065987486,0.954868555,0.032682699,0.891541327,0.666407519,0.973761057,0.233339171,0.144535273,0.342253117,0.184987494,0.970502651,0.033610387,0.025856767,0.169259134,0.622629402,0.924445587,0.252335835,0.907896023,0.965153007,0.440136368,0.066264388,0.283632637
81336,0.973748959,0.31565429,0.961395598,0.066292211,0.954906164,0.033631258,0.890533241,0.666282124,0.973676004,0.231269338,0.144508867,0.342084395,0.184281509,0.970538907,0.034410377,0.025938163,0.169737428,0.622769407,0.924229669,0.25308642,0.906995097,0.965517735,0.440839518,0.066260093,0.283065291
81351,0.974407656,0.314771661,0.960665683,0.06564364,0.956297717,0.033398958,0.889387961,0.667059569,0.974342254,0.229305651,0.143316823,0.341426378,0.181906201,0.971156635,0.033979752,0.024738327,0.168707255,0.625551997,0.924950205,0.253000287,0.907504924,0.966461736,0.439259207,0.067011682,0.280929059
81356,0.97549257,0.313337972,0.959611361,0.064865355,0.957764489,0.032895641,0.888129345,0.668257083,0.975150261,0.227387075,0.141864492,0.340650256,0.179183116,0.971723993,0.033349129,0.023230996,0.166900363,0.629734633,0.926027371,0.252819819,0.908629335,0.967477252,0.437057424,0.06799519,0.278578624
81376,0.976422496,0.312147124,0.958394835,0.064229137,0.958967994,0.032411682,0.887031785,0.669674038,0.975915741,0.225402158,0.140419705,0.341072061,0.176606098,0.972120867,0.033051835,0.021853294,0.164970832,0.634588124,0.927271933,0.252713178,0.909928345,0.968502304,0.435111332,0.068695241,0.276257135
81391,0.976151268,0.313001733,0.957746022,0.064908593,0.958328632,0.033011791,0.884007528,0.670551797,0.975759809,0.22329252,0.140238635,0.341088934,0.17545496,0.971717627,0.034222992,0.021758333,0.16353186,0.6379424,0.927812942,0.254156925,0.909655972,0.968793133,0.435203665,0.068879918,0.275637686
81395,0.975744425,0.313977761,0.956853903,0.065651876,0.95765166,0.033573183,0.881096606,0.671774391,0.975603878,0.221169615,0.140027387,0.342472456,0.1743073,0.971220567,0.035653604,0.021719142,0.161994776,0.641996698,0.928550461,0.255596571,0.909558197,0.969174547,0.435452253,0.068811201,0.27490824
81397,0.975143848,0.31505653,0.955880683,0.066448692,0.956937079,0.034115217,0.87832288,0.673341818,0.97550465,0.219028134,0.139759554,0.345290118,0.173156162,0.97063688,0.037332862,0.021722157,0.160363668,0.64677552,0.929467507,0.256995201,0.909586133,0.969663235,0.435842892,0.068493386,0.274068799
81416,0.974349536,0.316634989,0.954988565,0.067587295,0.955470307,0.034908909,0.875895123,0.674464097,0.975164436,0.216960954,0.13991799,0.346960468,0.172631021,0.969880495,0.039186893,0.022118585,0.159088215,0.650638479,0.930139522,0.258820393,0.909292808,0.969870629,0.436759118,0.06819275,0.273773548
81436,0.974349536,0.316924528,0.953853141,0.068169979,0.954718117,0.035179926,0.873163152,0.675611454,0.975150261,0.215225479,0.139831228,0.345560074,0.171431195,0.969644419,0.039925623,0.021865353,0.157473459,0.65415901,0.930966804,0.260276445,0.909174081,0.970247276,0.436361376,0.068802611,0.272864636
