MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14,MF15,MF16,MF17,MF18,MF19,MF20,MF21,MF22,MF23,MF24,MF25
-6.2372,-1.1572,-1.7324,-4.4048,-0.16509,-2.3459,-1.181,1.8254,0.73423,-1.2198,-2.3582,4.0261,0.69606,0.77704,2.0167,-0.6594,1.0865,0.074357,1.3126,0.40521,-0.93319,-0.086836,0.625,-0.32072,-0.80238
-6.2359,-1.1563,-1.7305,-4.4017,-0.16444,-2.3445,-1.1789,1.8272,0.73283,-1.218,-2.3527,4.0278,0.69569,0.77326,2.0143,-0.65781,1.0834,0.071443,1.3115,0.40082,-0.93163,-0.085587,0.62189,-0.3249,-0.80038
-6.2369,-1.1549,-1.7277,-4.3984,-0.16398,-2.3427,-1.1783,1.8288,0.73115,-1.2165,-2.3472,4.0287,0.69507,0.76891,2.012,-0.65621,1.0799,0.068155,1.3116,0.39777,-0.92989,-0.084199,0.61965,-0.32957,-0.79875
-6.2346,-1.1534,-1.7269,-4.3941,-0.16257,-2.3403,-1.1767,1.8298,0.73064,-1.2155,-2.3418,4.03,0.69463,0.76464,2.0082,-0.65331,1.077,0.065427,1.311,0.3928,-0.92853,-0.083172,0.61859,-0.3333,-0.79692
-6.2342,-1.1515,-1.7237,-4.391,-0.16079,-2.338,-1.1756,1.8309,0.73023,-1.215,-2.3373,4.0303,0.69386,0.76034,2.0053,-0.64993,1.0739,0.061703,1.3103,0.38924,-0.92705,-0.082852,0.61813,-0.33793,-0.79616
-6.2338,-1.1495,-1.7199,-4.3889,-0.15831,-2.3353,-1.175,1.8312,0.72971,-1.2147,-2.333,4.0298,0.69294,0.75585,2.0026,-0.64565,1.0709,0.057762,1.31,0.38601,-0.92591,-0.082406,0.61818,-0.3429,-0.79576
-6.2336,-1.1473,-1.7157,-4.3878,-0.15511,-2.3322,-1.1747,1.8308,0.72905,-1.2146,-2.329,4.0287,0.69195,0.75121,2.0005,-0.6405,1.0681,0.053557,1.3102,0.38303,-0.9252,-0.081981,0.61883,-0.34818,-0.79576
-6.2281,-1.147,-1.7156,-4.3849,-0.15018,-2.3279,-1.1757,1.8279,0.72809,-1.2156,-2.3232,4.0276,0.69235,0.74629,1.9982,-0.63519,1.0659,0.052014,1.3097,0.37611,-0.92407,-0.080966,0.61967,-0.35329,-0.79385
-6.2232,-1.1461,-1.7162,-4.3814,-0.14627,-2.324,-1.176,1.8259,0.72758,-1.2157,-2.3175,4.027,0.69241,0.74144,1.995,-0.62997,1.0637,0.050548,1.3096,0.36934,-0.92317,-0.079284,0.61997,-0.3575,-0.79175
-6.2268,-1.1434,-1.7116,-4.3802,-0.14508,-2.3218,-1.1764,1.8264,0.7263,-1.2149,-2.3137,4.0254,0.69108,0.73634,1.9929,-0.6255,1.0604,0.046148,1.3109,0.36849,-0.9224,-0.077527,0.61883,-0.36292,-0.79128
-6.226,-1.1422,-1.7102,-4.3786,-0.14243,-2.3193,-1.1771,1.8251,0.72402,-1.2146,-2.3083,4.0241,0.69052,0.7313,1.9905,-0.62094,1.0584,0.043526,1.3112,0.36422,-0.92113,-0.075099,0.61691,-0.36807,-0.7895
-6.2259,-1.142,-1.7067,-4.3759,-0.14083,-2.3181,-1.1768,1.8257,0.72296,-1.2133,-2.3034,4.0238,0.6882,0.7279,1.9881,-0.61841,1.0563,0.040202,1.3114,0.36004,-0.91903,-0.072651,0.61477,-0.37349,-0.78859
-6.2254,-1.1416,-1.7039,-4.3726,-0.13979,-2.3173,-1.1756,1.8267,0.7223,-1.2117,-2.2986,4.0239,0.68608,0.72433,1.985,-0.61595,1.054,0.037243,1.3115,0.35558,-0.91711,-0.069983,0.61193,-0.37854,-0.78741
-6.2246,-1.141,-1.7017,-4.369,-0.13933,-2.317,-1.1736,1.8281,0.72206,-1.2097,-2.294,4.0244,0.68405,0.7206,1.9814,-0.61364,1.0518,0.034568,1.3111,0.35087,-0.91529,-0.067107,0.60845,-0.38314,-0.78579
-6.2213,-1.1412,-1.7014,-4.3635,-0.13902,-2.317,-1.171,1.8295,0.72279,-1.2077,-2.2891,4.0258,0.68276,0.71662,1.9775,-0.61216,1.0493,0.03351,1.3099,0.34425,-0.91318,-0.064212,0.60464,-0.38758,-0.7832
-6.2203,-1.1406,-1.6982,-4.3594,-0.13987,-2.3182,-1.1658,1.8326,0.72408,-1.2045,-2.2857,4.0275,0.68014,0.71333,1.9734,-0.61098,1.0469,0.030817,1.3084,0.33972,-0.91145,-0.061604,0.59988,-0.3922,-0.78198
-6.2126,-1.1426,-1.6996,-4.3506,-0.14006,-2.3188,-1.1603,1.8349,0.72725,-1.2009,-2.2806,4.0311,0.67874,0.70987,1.9686,-0.61169,1.0441,0.031739,1.3062,0.32968,-0.90938,-0.058561,0.59566,-0.39626,-0.77865
-6.2102,-1.1436,-1.6995,-4.3435,-0.14135,-2.3194,-1.157,1.8373,0.7282,-1.1974,-2.2755,4.0331,0.67711,0.70568,1.9644,-0.6119,1.0411,0.031251,1.3058,0.32299,-0.90746,-0.054695,0.59062,-0.40096,-0.77528
-6.2037,-1.145,-1.702,-4.3351,-0.14162,-2.3199,-1.1533,1.8388,0.72986,-1.1948,-2.2698,4.0359,0.67672,0.70111,1.9594,-0.61176,1.0386,0.032167,1.3037,0.31357,-0.90533,-0.051528,0.58603,-0.40486,-0.77108
-6.2027,-1.1457,-1.6977,-4.3297,-0.14299,-2.3222,-1.1484,1.8431,0.73145,-1.191,-2.266,4.0382,0.67326,0.69862,1.9555,-0.6124,1.0361,0.029282,1.3024,0.30813,-0.90289,-0.048845,0.581,-0.40973,-0.76997
-6.2025,-1.1466,-1.6925,-4.3246,-0.14449,-2.3246,-1.1436,1.8474,0.73298,-1.187,-2.2621,4.0403,0.66944,0.69631,1.9519,-0.61354,1.0335,0.026092,1.3013,0.30307,-0.90028,-0.046168,0.57591,-0.41498,-0.76911
-6.2022,-1.1477,-1.6873,-4.3185,-0.14632,-2.3272,-1.1387,1.8522,0.73507,-1.1828,-2.2584,4.0427,0.66564,0.69398,1.9481,-0.61513,1.0306,0.023089,1.3002,0.29793,-0.89774,-0.0436,0.57099,-0.42011,-0.76823
-6.2019,-1.1488,-1.6822,-4.3117,-0.14841,-2.3296,-1.1338,1.857,0.73776,-1.1784,-2.2548,4.045,0.66188,0.69164,1.9442,-0.61686,1.0274,0.020259,1.2992,0.29278,-0.89526,-0.040993,0.56636,-0.42519,-0.76713
-6.2054,-1.1493,-1.6753,-4.3093,-0.14964,-2.3321,-1.1314,1.8604,0.73704,-1.1751,-2.2514,4.045,0.65837,0.68865,1.9421,-0.61705,1.0252,0.015994,1.2988,0.2906,-0.89284,-0.038041,0.56046,-0.43147,-0.76649
-6.2077,-1.1491,-1.6708,-4.3079,-0.15022,-2.3339,-1.129,1.8624,0.73555,-1.1723,-2.2476,4.0447,0.65577,0.68493,1.9394,-0.61582,1.0238,0.012367,1.2981,0.28791,-0.89086,-0.034731,0.55445,-0.43685,-0.76525
-6.2078,-1.1495,-1.6682,-4.3049,-0.1502,-2.3348,-1.1276,1.8631,0.73424,-1.1701,-2.243,4.0442,0.65439,0.68041,1.9368,-0.61467,1.0223,0.010262,1.2971,0.28378,-0.88878,-0.031416,0.54875,-0.44226,-0.76285
-6.2113,-1.1489,-1.6651,-4.3042,-0.15028,-2.3357,-1.1279,1.8632,0.7309,-1.1685,-2.2386,4.0424,0.65315,0.67531,1.9346,-0.61237,1.0213,0.0071012,1.297,0.28197,-0.88688,-0.027646,0.5425,-0.44795,-0.76059
-6.2111,-1.1515,-1.6613,-4.3017,-0.1494,-2.3366,-1.1281,1.8635,0.72857,-1.1661,-2.2334,4.0412,0.65051,0.67252,1.9329,-0.61196,1.0203,0.0045055,1.2967,0.27725,-0.88422,-0.023647,0.53717,-0.45441,-0.75848
-6.2144,-1.1511,-1.6567,-4.3002,-0.15023,-2.3381,-1.1272,1.8653,0.72673,-1.1638,-2.2298,4.0396,0.64803,0.66895,1.9295,-0.61021,1.0186,0.0001787,1.2967,0.27571,-0.88258,-0.020276,0.53225,-0.45973,-0.75728
-6.2103,-1.1529,-1.6544,-4.291,-0.15191,-2.3393,-1.1226,1.8688,0.7311,-1.1597,-2.2264,4.0411,0.64552,0.66644,1.9242,-0.61188,1.0147,-0.0010805,1.2954,0.26932,-0.88097,-0.017797,0.52991,-0.46413,-0.75534
-6.2081,-1.153,-1.6526,-4.2836,-0.15403,-2.3405,-1.1181,1.8721,0.73448,-1.1561,-2.2236,4.0418,0.64384,0.66292,1.9183,-0.61208,1.0109,-0.0030293,1.2941,0.2648,-0.88001,-0.015459,0.52752,-0.46806,-0.7535
-6.2073,-1.1522,-1.6512,-4.2803,-0.15468,-2.3412,-1.1161,1.8725,0.7341,-1.1544,-2.2202,4.0402,0.64385,0.65776,1.914,-0.6103,1.0082,-0.0055192,1.2926,0.2618,-0.87904,-0.013113,0.52418,-0.47279,-0.75118
